Gold,Date,United States(USD),Europe(EUR),Japan(JPY),United Kingdom(GBP),Canada(CAD),Switzerland(CHF),India,China(CNY),Turkey(TRY),Saudi Arabia(SAR),Indonesia(IDR),United Arab Emirates(AED),Thailand(THB),Vietnam(VND),Egypt(EGP),South Korean(KRW),Australia(AUD),South Africa(ZAR)
Rate,2018-Feb,1317.9,1080.5,140621.2,956.5,1688.6,1245.4,85853,8344.6,5016.3,4942.3,18118458.7,4840.4,41367.3,29990309.1,23273.2,1427099.5,1691.2,15555.6
Rate,2018-Mar,1323.9,1076.4,140791.4,943.7,1706.8,1267.7,86343.7,8329.3,5244.3,4964.4,18226102.9,4862.5,41396.8,30196353.2,23339.5,1411091.4,1725.9,15686
Rate,2018-Apr,1313.2,1086.9,143696.9,953.4,1683.5,1299.9,87643,8332.1,5338.5,4924.8,18269894.3,4823.6,41444.6,29893027.1,23163.2,1402563,1739.7,16393.7
Rate,2018-May,1305.4,1118.3,141819.7,981,1693.3,1283.3,88088.3,8355.5,5923,4895.6,18137836.2,4794.7,41758.1,29769808.8,23359.2,1407101.8,1725.2,16532.3
Rate,2018-Jun,1250.5,1071,138506.1,947.1,1644.9,1241.6,85674.6,8284.6,5728.6,4689.6,17918947.8,4593.1,41427.4,28708455.2,22370.6,1393626.5,1692.4,17139
Rate,2018-Jul,1221,1043.5,136673.1,930.8,1589.7,1208.7,83740.4,8334.8,5993.6,4579.1,17606098.3,4484.7,40621,28427377.7,21836.7,1365815.5,1642.4,15992.9
Rate,2018-Aug,1202.5,1033.5,133333.7,925.1,1567.9,1162.9,85285.3,8212.3,7962.9,4509.8,17712087.8,4416.8,39356.2,28021893.7,21439.7,1338507.1,1662.7,17617.4
Rate,2018-Sep,1187.3,1022.2,134853.8,910.4,1534.6,1159.7,86063.7,8169,7132.2,4452.5,17691805.9,4360.8,38395.7,27695574.4,21275.5,1316957.1,1640.9,16801.1
Rate,2018-Oct,1215,1072.3,137113.2,950.9,1595.5,1222.1,89839.5,8473.2,6807.7,4557.5,18470276.6,4462.6,40275.6,28363614.1,21790.1,1384496,1714.2,17940.3
Rate,2018-Nov,1217.6,1075.3,138252.8,954.3,1618.3,1216.8,84857.1,8454.4,6391.3,4567.9,17414006.1,4472.2,40042.2,28390217.6,21806.3,1364812.4,1667.3,16882.9
Rate,2018-Dec,1279,1118.8,140325.5,1004.2,1746.9,1260.8,89293.4,8781.2,6804.2,4797.9,18392020,4698,41644.2,29666405,22919.7,1427108,1816.8,18398.4
Rate,2019-Jan,1323.3,1153.2,144009.3,1005.9,1737.8,1312.8,94109.5,8873.1,6849,4962.9,18489110.6,4860.3,41341.6,30698076.8,23408.3,1472314,1814.8,17559.5
Rate,2019-Feb,1319.2,1158.5,146847.8,991.8,1737.3,1314.1,93826.2,8820.1,7036.4,4947.3,18557141.3,4845.2,41569.7,30604277.7,23111.5,1483647.8,1854.2,18547.3
Rate,2019-Mar,1295.4,1153.7,143381.3,994.1,1730.6,1290.1,89738.8,8705.4,7318.5,4858.2,18446494.6,4758.1,41109.5,30058459.3,22449.3,1470408.2,1823.6,18681.3
Rate,2019-Apr,1282.3,1144.2,142816.1,983.6,1725,1306.7,89188.8,8638.6,7654.7,4809,18272772.2,4710.1,40937.4,29861556.7,22055.6,1497918.4,1821.8,18383.4
Rate,2019-May,1295.6,1162.6,140664.3,1027.9,1751.5,1303.1,90288.5,8943.2,7560.4,4858.8,18490734.6,4758.7,41000.9,30336594.2,21687.5,1542870.1,1869.9,18860
Rate,2019-Jun,1409,1237.3,151805.7,1107.1,1841.2,1373.8,97259.7,9677.4,8149.7,5284.1,19905647.5,5175.5,43210.5,32836745,23523.2,1626901.7,2007.8,19868.7
Rate,2019-Jul,1427.6,1282.2,154996.2,1165.9,1874.6,1413.3,98194,9829.4,7939.7,5354.1,20009965.6,5243.6,43904.3,33165550.8,23654.5,1688934,2071.2,20233.7
Rate,2019-Aug,1528.4,1387.9,162232,1255,2030.9,1512.3,109139.2,10920.9,8904.8,5732.6,21680352.6,5614,46727,35437480.1,25295,1851274.4,2268.5,23206.8
Rate,2019-Sep,1485.3,1362.4,160523.8,1205.3,1966.5,1481.1,105261.4,10602.7,8386.7,5571.7,21083830.7,5455.7,45427.9,34460440.8,24160.2,1776641.2,2202.2,22520.9
Rate,2019-Oct,1511,1354.3,163341.2,1167.7,1985.9,1490.9,107169.8,10630.1,8631.4,5666.5,21209204.5,5549.4,45623.1,35058571.7,24386.7,1757914.7,2193.1,22760.2
Rate,2019-Nov,1460.2,1324.3,159901,1128.8,1939.4,1459.2,104747.5,10259.7,8386.4,5475.6,20595414.4,5363.4,44122.1,33846274.7,23537.6,1724655.9,2158.7,21395.6
Rate,2019-Dec,1514.8,1349.4,164615.4,1143.4,1964.3,1466.8,108120,10551.3,9014.3,5682.3,21028516.9,5563.9,45372.4,35100544.4,24311.7,1751732.6,2154.9,21181.5
Rate,2020-Jan,1584.2,1429.5,171703.5,1201.8,2095.2,1527.9,113044.6,10978.5,9481.4,5943.9,21632250.3,5818.8,49379.5,36789875.5,25030.4,1888128.9,2366.4,23762.2
Rate,2020-Feb,1609.9,1465.6,173646.5,1260.4,2161,1558.3,116178.9,11252.9,10060.4,6039.4,23097324.3,5912.8,50798.8,37414526.1,25166,1955162.9,2496.9,25325.4
Rate,2020-Mar,1609,1466.4,173694.2,1297.6,2290.1,1556.7,121719.1,11412.4,10603.4,6044.8,26241973.7,5909.9,52801.7,37998571,25324.9,1958655.4,2628.8,28735.9
Rate,2020-Apr,1702.8,1554.6,182083.6,1349.9,2365,1643.4,127868,12008,11901.4,6393.8,25328406.3,6254.4,55092.5,39893729.8,26818.3,2074715.7,2600.8,31271
Rate,2020-May,1728.7,1554.1,186241.5,1398.3,2389.4,1660.8,130717.8,12352.6,11792.3,6495.6,25256306.3,6349.8,54989.9,40246727.9,27417.2,2140908.4,2604.3,30476.1
Rate,2020-Jun,1768.1,1574.2,190751.5,1431,2408.2,1675.4,133498.2,12507.7,12119.9,6632.1,25257309.9,6494.5,54647.6,41030530.9,28537.1,2126759.4,2568.1,30720.7
Rate,2020-Jul,1964.9,1661.7,207748.9,1497.1,2632,1787.5,146999.1,13714,13714,7369.2,28687538.6,7217.4,61270.5,45539502.6,31379.5,2340981.6,2739.9,33459.8
Rate,2020-Aug,1957.4,1636.7,207567.2,1461.9,2550.3,1762.5,144075.6,13417.2,14404.1,7340.9,28503910.8,7189.6,60917.6,45361588.5,31024,2325136,2646.7,33160
Rate,2020-Sep,1886.9,1609.1,199124.5,1459.6,2520.4,1733.6,139215.5,12850.9,14537,7077.6,28077070.6,6930.9,59791.1,43742113.5,29737.5,2206729.4,2632.6,31473.5
Rate,2020-Oct,1881.9,1615.5,196728.6,1455.4,2509.2,1724.8,139459.2,12608.8,15775.6,7057.5,27522057.7,6912.3,58652.6,43625989.9,29545.1,2135335.2,2679.7,30577.7
Rate,2020-Nov,1762.6,1473.5,183789.9,1320.2,2284.1,1595.6,130527.8,11601.5,13787.1,6610.6,24887206.7,6474.1,53317.1,40789814.5,27654.4,1950349.8,2392,27277.7
Rate,2020-Dec,1887.6,1542.7,194885.3,1380.9,2404.8,1668.5,137922.2,12344.5,14029.6,7081.5,26520781.4,6933.4,56552.5,43570529.3,29692,2050500.1,2446.2,27726.5
